Statistical profiling result from debub-v8.log, (15552 ticks, 28 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.1%  Function: ^ReadableState node:internal/streams/readable:78:23
      2    0.0%    0.1%  Function: ^Module.require node:internal/modules/cjs/loader:997:36
      2    0.0%    0.1%  Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      2    0.0%    0.1%  Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      2    0.0%    0.1%  Function: ^LazyTransform node:internal/streams/lazy_transform:20:23
      2    0.0%    0.1%  Function: ^Hash node:internal/crypto/hash:58:14
      2    0.0%    0.1%  Function: ^Glob._readdirInGlobStar /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:489:46
      2    0.0%    0.1%  Function: ^EventEmitter.init node:events:326:29
      2    0.0%    0.1%  Function: ^<anonymous> node:_http_outgoing:564:45
      2    0.0%    0.1%  Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:251:47
      2    0.0%    0.1%  Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:181:44
      2    0.0%    0.1%  Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:164:57
      2    0.0%    0.1%  Function: *wasm-function[15]
      1    0.0%    0.0%  RegExp: ^\{\{~?!-?-?
      1    0.0%    0.0%  RegExp: ^\s*?\r?\n
      1    0.0%    0.0%  RegExp: ^\/socket\.io/socket\.io(\.msgpack|\.esm)?(\.min)?\.js(\.map)?(?:\?|$)
      1    0.0%    0.0%  RegExp: ^\/api\/info\/?(?=\/|$)
      1    0.0%    0.0%  RegExp: ^\.|this\b
      1    0.0%    0.0%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      1    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.0%  RegExp: ^.*[\.\/\\]
      1    0.0%    0.0%  RegExp: ^(?:true(?=([~}\s)])))
      1    0.0%    0.0%  RegExp: ^(?:\}\}\}\})
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?>)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?#>)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?![\s\S]*?\}\})
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?!--)
