Statistical profiling result from nodebug-v8.log, (13639 ticks, 20 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  RegExp: ^\.|%|\\
      1    0.0%    0.0%  RegExp: ^\$ref$|^\$id$|^\$db$
      1    0.0%    0.0%  RegExp: ^(?:true(?=([~}\s)])))
      1    0.0%    0.0%  RegExp: ^(?:null(?=([~}\s)])))
      1    0.0%    0.0%  RegExp: ^(?:\}(~)?\}\})
      1    0.0%    0.0%  RegExp: ^(?:\{\{\{\{)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\/)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\*?)
      1    0.0%    0.0%  RegExp: ^(?:\.\.)
      1    0.0%    0.0%  RegExp: ^(?:\.(?=([=~}\s\/.)|])))
      1    0.0%    0.0%  RegExp: ^(?:[\/.])
      1    0.0%    0.0%  RegExp: ^(?:=)
