Statistical profiling result from debug-v8.log, (13757 ticks, 29 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      1    0.0%    0.0%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:130:39
      1    0.0%    0.0%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:98:47
      1    0.0%    0.0%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:201:47
      1    0.0%    0.0%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:181:44
      1    0.0%    0.0%  Function: ^write_ node:_http_outgoing:730:16
      1    0.0%    0.0%  Function: ^wrapper /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/wrappy/wrappy.js:19:19
      1    0.0%    0.0%  Function: ^wrap /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
      1    0.0%    0.0%  Function: ^validateBoolean node:internal/validators:139:25
      1    0.0%    0.0%  Function: ^utf8Encode /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/whatwg-url/lib/encoding.js:5:20
      1    0.0%    0.0%  Function: ^updateChildren node:internal/modules/cjs/loader:165:24
      1    0.0%    0.0%  Function: ^unenroll node:timers:78:18
      1    0.0%    0.0%  Function: ^trySelf node:internal/modules/cjs/loader:441:17
      1    0.0%    0.0%  Function: ^tryExtensions node:internal/modules/cjs/loader:400:23
      1    0.0%    0.0%  Function: ^tryCreateBuffer node:fs:414:25
      1    0.0%    0.0%  Function: ^trim_prefix /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/lib/router/index.js:288:23
